Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
BN-4126_68771,Cushion,0.81,K,VS2,IGI,Very Good,VSL,,69.80,67.00,Medium to Extr. Thick,Very Good,Very Good,5.35 x 4.87 x 3.40 mm,1985
N0063481AB_92506,Cushion,0.80,D,VS2,GIA,Excellent,None,,68.50,60.00,Thin to Very Thick,Excellent,Good,5.37 x 5.11 x 3.50 mm,2545
BN0002900_92506,Cushion,1.21,J,SI2,GIA,Excellent,Medium,,68.80,63.00,Slightly Thick to Very Thick,Excellent,Very Good,5.96 x 5.92 x 4.07 mm,3020
N0182415A_32457,Cushion,0.80,H,IF,GIA,Excellent,None,,69.00,61.00,Medium to Thick,Excellent,Excellent,5.29 x 5.10 x 3.52 mm,2922
X16-2_13198,Cushion,0.70,J,VVS2,GIA,Excellent,None,,65.80,64.00,Slightly Thick to Thick,Excellent,Very Good,5.42 x 5.29 x 3.48 mm,3196
HH-276_2760,Cushion,0.82,D,SI1,GIA,Fair,None,None,66.10,61.00,,Excellent,Excellent,5.19 x 5.16 x 3.41 mm,2541
01V4560_96548,Cushion,0.71,K,SI1,GIA,Excellent,Medium,,68.00,59.00,Medium to Very Thick,Very Good,Fair,4.95 x 4.95 x 3.37 mm,2894
BN0002900_32457,Cushion,1.21,J,SI2,GIA,Excellent,Medium,,68.80,63.00,Slightly Thick to Very Thick,Excellent,Very Good,5.96 x 5.92 x 4.07 mm,3020
N0184583A_32457,Cushion,0.80,J,VVS2,GIA,Excellent,None,,68.90,64.00,Medium to Thick,Excellent,Excellent,5.32 x 5.07 x 3.49 mm,2220
LPJ345153_115090,Cushion,0.76,I,VS1,GIA,Excellent,Faint,,67.90,61.00,Slightly Thick to Thick,Excellent,Very Good,5.29 x 5.17 x 3.51 mm,2892
BN-5150_68771,Cushion,0.81,I,SI1,IGI,Excellent,None,,69.40,68.00,Thin to Very Thick,Very Good,Good,5.19 x 5.03 x 3.49 mm,2259
66634_32541,Cushion,0.90,D,SI2,GIA,Excellent,Medium,,67.90,59.00,Very Thick to Extr. Thick,Very Good,Good,5.77 x 5.12 x 3.48 mm,2974
24404_29708,Cushion,0.50,E,VS1,GIA,Excellent,None,None Pointed,65.30,60.00,Medium to Very Thick,Excellent,Very Good,4.65 x 4.46 x 2.91 mm,1738
N0218492_32457,Cushion,1.01,E,SI2,GIA,Excellent,Faint,,70.90,62.00,Thick to Very Thick,Excellent,Excellent,6.22 x 5.26 x 3.73 mm,3009
BN-4252_68771,Cushion,0.91,I,VS1,IGI,Excellent,None,,73.60,66.00,Slightly Thick to Extr. Thick,Good,Good,5.75 x 4.84 x 3.56 mm,3202
50514_118100,Cushion,0.38,J,VVS2,GIA,Excellent,None,,67.00,64.00,Thin to Thick,Very Good,Good,4.77 x 3.70 x 2.48 mm,1585
BN0003940_92506,Cushion,1.03,H,SI2,GIA,Excellent,None,,69.20,65.00,Slightly Thick to Very Thick,Excellent,Excellent,5.91 x 5.60 x 3.88 mm,2784
GIA 22882_12794,Cushion,1.01,K,SI2,GIA,Excellent,Strong,,74.40,60.00,Thin to Extr. Thick,Excellent,Very Good,5.92 x 5.16 x 3.84 mm,2803
9331_91514,Cushion,0.70,J,SI1,GIA,Excellent,Faint,,73.20,61.00,Thick to Very Thick,Good,Good,5.04 x 4.91 x 3.60 mm,2159
SG2948_98109,Cushion,0.50,D,VS1,GIA,Excellent,Faint,,65.90,61.00,Medium to Thick,Excellent,Excellent,4.86 x 4.33 x 2.85 mm,2005
EM45555-98_42875,Cushion,0.70,G,SI2,GIA,Excellent,None,,57.50,70.00,,Very Good,Good,5.36 x 5.22 x 3.00 mm,2244
HQ-56_2760,Cushion,0.80,G,VVS2,GIA,Fair,None,None,66.20,59.00,,Excellent,Very Good,5.34 x 5.14 x 3.4 mm,2975
E45351_42875,Emerald,0.50,J,VS1,GIA,Excellent,None,,68.30,63.00,Thick to Very Thick,Very Good,Good,5.25 x 3.75 x 2.56 mm,1523
00153_80451,Emerald,0.26,F,VS1,EGL,Excellent,None,,,70.00,,Very Good,Very Good,3.90 x 3.15 x 2.20 mm,839
9-24-22/14_67680,Emerald,0.54,D,SI1,GIA,Excellent,None,,67.70,63.00,Thick to Very Thick,Excellent,Very Good,5.50 x 3.85 x 2.60 mm,1925
SG2858_98109,Emerald,0.31,H,VVS1,GIA,Excellent,None,,65.80,63.00,Medium to Thick,Very Good,Very Good,4.70 x 3.24 x 2.13 mm,1074
WFWO-5700_32457,Emerald,0.68,E,SI2,GIA,Excellent,None,,69.00,68.00,Very Thick to Very Thick,Excellent,Very Good,5.65 x 4.18 x 2.88 mm,1663
50028_25539,Emerald,0.30,D,VS1,EGL,Excellent,None,,69.00,67.00,Extr. Thin to Thin,Excellent,Excellent,4.57 x 3.31 x 2.29 mm,1201
B31-570_NVD,Emerald,0.41,D,VVS1,GIA,Fair,None,NON,64.20,66.00,THK-VTK to THK-VTK,Very Good,Very Good,5.15x3.47x2.23 mm,1723
SG2924_98109,Emerald,0.42,I,IF,GIA,Excellent,None,,63.60,69.00,Slightly Thick to Thick,Excellent,Very Good,5.16 x 3.63 x 2.31 mm,1497
SG2780_98109,Emerald,0.40,D,VVS1,GIA,Excellent,None,,66.50,68.00,Thin to Slightly Thick,Very Good,Very Good,5.26 x 3.48 x 2.32 mm,1782
4-1727734/03_67680,Emerald,0.50,D,SI1,GIA,Excellent,Faint,,61.50,67.00,Medium to Slightly Thick,Excellent,Very Good,5.53 x 3.91 x 2.40 mm,1727
79165_14825,Emerald,0.46,D,VVS2,GIA,Good,Faint,None,63.20,62.00,Thick to Very Thick,Excellent,Very Good,4.98 x 3.86 x 2.44 mm,1148
AL1909_14470,Emerald,0.38,D,VVS2,GIA,Excellent,None,,64.60,61.00,Extr. Thin to Slightly Thick,Good,Good,4.59 x 3.88 x 2.51 mm,1130
EC05036_30614,Emerald,0.51,F,VS2,GIA,Excellent,None,,64.10,69.00,Slightly Thick to Very Thick,Very Good,Good,5.38 x 4.08 x 2.61 mm,2056
WFWO-5700_92506,Emerald,0.68,E,SI2,GIA,Excellent,None,,69.00,68.00,Very Thick to Very Thick,Excellent,Very Good,5.65 x 4.18 x 2.88 mm,1663
E51184_23298,Emerald,0.51,F,SI1,GIA,Excellent,None,,78.30,71.00,Very Thick to Extr. Thick,Good,Good,4.91 x 3.83 x 3.00 mm,1355
R17S2201_68119,Emerald,0.51,J,VVS2,GIA,Excellent,None,,67.50,69.00,Slightly Thick to Very Thick,Very Good,Good,4.94 x 4.16 x 2.81 mm,1675
02113114596_71234,Emerald,0.34,E,IF,GIA,Excellent,Medium,,66.70,66.00,Thick to Extr. Thick,Excellent,Very Good,4.87 x 3.26 x 2.18 mm,874
N0157960_92506,Emerald,0.60,K,VS1,GIA,Excellent,Strong,,66.10,60.00,Slightly Thick to Very Thick,Excellent,Very Good,5.94 x 3.89 x 2.57 mm,1134
BG995-17_220,Emerald,0.40,H,VVS1,GIA,Fair,None,None,67.00,61.00,Thin to Slightly Thick,Excellent,Very Good,5.02 x 3.67 x 2.46 mm,1640
D1311_50227,Emerald,0.43,D,VVS2,GIA,Excellent,None,,62.40,60.00,Thick to Thick,Very Good,Very Good,4.58 x 4.10 x 2.56 mm,1912
