Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
DP2208343_34292,Pear,0.31,E,VS2,GIA,Excellent,Medium,,59.6,57.0,Thin to Very Thick,Very Good,Very Good,6.01 x 3.86 x 2.30 mm,891
936864_NVD,Pear,0.26,E,SI1,GIA,Very Good,None,NON,61.3,60.0,MED - THK to MED - THK,Excellent,Very Good,5.51x3.67x2.25 mm,901
45K1-20A1_1648,Pear,0.23,E,SI1,GIA,Good,None,None,64.4,58.0,Medium to Extremely Thick,Very Good,Good,5.36 x 3.34 x 2.15 mm,570
AM49208_NVD,Pear,0.22,F,VS2,GIA,Very Good,None,NON,60.6,58.0,Medium to Medium,Very Good,Very Good,5.3x3.49x2.12 mm,671
RT-425_30893,Pear,0.31,H,VVS1,GIA,Excellent,None,,62.4,59.0,Medium to Thick,Excellent,Very Good,5.86 x 3.81 x 2.38 mm,939
PS1244_21288,Pear,0.57,K,I1,GIA,Excellent,None,,61.0,54.0,Medium to Very Thick,Good,Fair,,1270
5135_95080,Pear,0.42,E,VVS1,GIA,Excellent,None,None Pointed,60.4,63.0,Medium to Slightly Thick,Excellent,Very Good,7.03 x 4.17 x 2.52 mm,1727
E/8441_111413,Pear,0.64,J,SI1,GIA,Excellent,None,,52.9,62.0,Thin to Thick,Very Good,Very Good,7.96 x 5.05 x 2.67 mm,1797
CFE-178_13198,Pear,0.42,H,VVS1,GIA,Excellent,Faint,,64.7,54.0,Thick to Very Thick,Excellent,Very Good,6.19 x 4.22 x 2.73 mm,1292
PS22110989A_NVD,Pear,0.7,G,I1,GIA,Fair,None,,61.4,66.0,undefined to undefined,Very Good,Very Good,7.91x4.86x2.98 mm,2104
B897-139_13198,Pear,0.6,K,VVS1,GIA,Excellent,Faint,,60.3,60.0,Slightly Thick to Thick,Very Good,Very Good,7.45 x 4.72 x 2.85 mm,1805
WP-305_43714,Pear,0.3,E,SI2,GIA,Excellent,Faint,,60.7,56.0,Thin to Very Thick,Excellent,Very Good,6.03 x 3.69 x 2.24 mm,800
M105B_60068,Pear,0.49,K,SI1,GIA,Excellent,Medium,,65.4,58.0,Medium to Medium,Good,Fair,7.29 x 4.04 x 2.64 mm,942
RG165701_NVD,Pear,0.35,E,VVS1,GIA,Ideal,None,,61.5,56.0,STK - ETK to STK - ETK,Excellent,Very Good,5.75x4.0x2.46 mm,1451
C1/4P1000_56465,Pear,0.29,F,VVS2,GIA,Excellent,None,,57.0,65.0,Thick to Very Thick,Very Good,Good,6.00 x 3.71 x 2.12 mm,1092
U30-103A_NVD,Pear,0.5,J,VVS1,GIA,Good,None,,63.5,62.0,THK - VTK to THK - VTK,Excellent,Very Good,6.41x4.47x2.84 mm,1625
H519-14A_NVD,Pear,0.51,J,VVS1,GIA,Very Good,None,,64.0,59.0,STK - VTK to STK - VTK,Excellent,Very Good,6.52x4.45x2.85 mm,1359
N0216600A_32457,Pear,0.7,H,SI2,GIA,Excellent,None,,66.9,58.0,Medium to Very Thick,Excellent,Very Good,7.69 x 4.69 x 3.14 mm,2051
by59_28933,Pear,0.53,G,SI2,GIA,Excellent,None,,49.9,69.0,Thin to Thick,Good,Good,7.82 x 4.75 x 2.37 mm,1459
BT40650_23617,Pear,0.48,D,SI2,GIA,Excellent,Strong,,63.6,56.0,Slightly Thick to Very Thick,Good,Very Good,6.38 x 4.53 x 2.88 mm,1600
RG164605_8935,Pear,0.5,K,VVS2,GIA,Excellent,Medium,None,61.3,54.0,Slightly Thick to Very Thick,Very Good,Very Good,4.5 x 6.49 x 2.76 mm,1136
LD22015312_NVD,Pear,0.51,I,VS2,GIA,Very Good,Medium,NON,61.9,60.0,Thick to Thick,Excellent,Very Good,6.84x4.42x2.73 mm,1705
S6976_77451,Pear,0.34,G,VS1,GIA,Excellent,None,,55.0,63.0,Thin to Thick,Good,Fair,5.54 x 4.27 x 2.35 mm,1136
336926_NVD,Pear,0.18,G,VVS2,GIA,Good,None,NON,58.5,62.0,Medium to Thick,Excellent,Very Good,5.0x3.29x1.92 mm,807
CFE149-34_220,Pear,0.3,E,SI1,GIA,Good,Faint,None,62.7,62.0,Medium to Very Thick,Excellent,Very Good,5.66 x 3.73 x 2.34 mm,950
J13768_NVD,Pear,0.35,F,SI1,IGI,Very Good,Faint,POINTED,63.7,60.0,Medium to Very Thick,Excellent,Very Good,5.86x3.99x2.54 mm,819
AA2303140_34292,Pear,0.41,F,SI2,GIA,Excellent,None,,60.6,58.0,Medium to Very Thick,Very Good,Very Good,6.49 x 4.18 x 2.53 mm,1146
A59-12_NVD,Pear,0.4,E,VVS2,GIA,Ideal,None,NON,61.9,56.0,STK-VTK to STK-VTK,Excellent,Very Good,6.64x4.0x2.47 mm,1779
408503_NVD,Pear,0.26,E,VS2,GIA,Very Good,None,NON,60.1,58.0,Medium to Very Thick,Excellent,Very Good,5.66x3.57x2.14 mm,1318
E42535-01_42875,Pear,0.51,K,SI1,GIA,Excellent,Faint,,64.3,56.0,Slightly Thick to Very Thick,Very Good,Very Good,7.07 x 4.19 x 2.69 mm,1275
U35-237A_NVD,Pear,0.4,E,VS2,GIA,Very Good,None,,63.7,57.0,STK - VTK to STK - VTK,Excellent,Very Good,6.03x4.14x2.64 mm,1436
HG595A_33800,Pear,0.39,E,SI2,GIA,Excellent,None,,63.8,56.0,Thick to Extr. Thick,Very Good,Good,6.60 x 3.83 x 2.44 mm,768
J572-262518_NVD,Pear,0.4,D,VS1,GIA,Good,None,NON,64.0,63.0,MED-VTK to MED-VTK,Very Good,Very Good,6.33x4.03x2.58 mm,1596
A3033_24321,Pear,0.5,I,IF,GIA,Excellent,None,,65.1,60.0,,Excellent,Excellent,7.51 x 4.18 x 2.72 mm,1912
961005_NVD,Pear,0.3,H,IF,GIA,Good,Faint,NON,59.0,62.0,THN - STK to THN - STK,Very Good,Very Good,5.87x3.95x2.33 mm,1284
21765_29708,Pear,0.5,E,VS2,GIA,Excellent,Faint,None Pointed,62.7,57.0,Medium to Thick,Excellent,Very Good,6.84 x 4.47 x 2.80 mm,2027
I64-21A_NVD,Pear,0.41,D,VVS2,GIA,Very Good,None,,61.5,59.0,STK - VTK to STK - VTK,Excellent,Very Good,6.31x4.21x2.59 mm,1887
6291_53479,Pear,0.49,J,SI1,EGL,Very Good,,,,,,Very Good,Very Good,7.25 x 4.34 x 2.82 mm,1079
U51-58A_NVD,Pear,0.41,I,VS1,GIA,Excellent,None,,62.8,56.0,THK - ETK to THK - ETK,Excellent,Excellent,6.07x4.17x2.62 mm,1231
AA2303102_34292,Pear,0.3,G,I1,GIA,Excellent,Faint,,65.4,55.0,Medium to Extr. Thick,Very Good,Very Good,6.07 x 3.60 x 2.36 mm,607
3004210_86907,Pear,0.5,I,VS2,GIA,Excellent,None,,61.0,61.0,Very Thick to Extr. Thick,Excellent,Very Good,7.25 x 4.29 x 2.62 mm,1790
728458_NVD,Pear,0.26,G,VVS1,GIA,Very Good,None,NON,62.8,58.0,STK - VTK to STK - VTK,Very Good,Very Good,5.44x3.55x2.23 mm,1189
AA2303099_34292,Pear,0.31,F,SI2,GIA,Excellent,None,,63.0,58.0,Slightly Thick to Very Thick,Excellent,Very Good,6.04 x 3.67 x 2.31 mm,821
GI-7C_NVD,Pear,0.31,I,VVS1,GIA,Good,None,NON,59.5,61.0,Slightly Thick to Very Thick,Very Good,Very Good,6.25x3.76x2.24 mm,986
V9752_46761,Pear,0.33,E,VS1,GIA,Excellent,Faint,,47.2,64.0,Extr. Thin to Thick,Good,Fair,6.50 x 4.41 x 2.08 mm,1189
