Style Number,Shape,Carat Weight,Color,Clarity,Graded By,Cut Grade,Fluorescence,Culet,Depth,Table,Girdle,Polish,Symmetry,Measurements,Price
PCH140_35190,Princess,0.53,J,SI1,GIA,Excellent,None,,,,,Good,Good,4.42 x 4.39 x 3.24 mm,1361
SJ-2571_56539,Princess,0.44,I,VVS1,GIA,Excellent,None,,73.2,73.0,Thick to Thick,Excellent,Very Good,4.27 x 4.10 x 3.00 mm,1876
GIA 20940_12794,Princess,0.59,D,SI2,GIA,Excellent,None,,72.0,72.0,Medium to Slightly Thick,Excellent,Good,4.73 x 4.69 x 3.38 mm,2198
GIA 22341_12794,Princess,0.46,E,VS1,GIA,Excellent,None,,72.1,71.0,Extr. Thin to Very Thick,Very Good,Very Good,4.37 x 4.26 x 3.08 mm,2277
SAN/FW-7-22_14255,Princess,0.43,E,VS2,GIA,Excellent,None,None Pointed,70.7,71.0,Slightly Thick to Slightly Thick,Very Good,Very Good,4.25 x 4.16 x 2.94 mm,1477
N0188104_92506,Princess,0.71,H,VS1,GIA,Excellent,None,,72.6,71.0,Medium to Slightly Thick,Excellent,Excellent,4.87 x 4.87 x 3.53 mm,2189
13236_49761,Princess,0.4,G,VS2,GIA,Excellent,None,,62.8,81.0,Thin to Very Thick,Very Good,Good,4.32 x 4.24 x 2.66 mm,1274
GIA 22837_12794,Princess,0.5,K,SI1,GIA,Excellent,None,,75.5,74.0,Thin to Thick,Excellent,Very Good,4.12 x 4.11 x 3.11 mm,1361
104989_63978,Princess,0.4,E,VS1,GIA,Excellent,None,,80.6,84.0,Thin to Very Thick,Good,Fair,4.20 x 3.72 x 3.00 mm,1606
31937_61592,Princess,0.55,E,SI1,GIA,Excellent,None,,73.5,74.0,Thick to Very Thick,Excellent,Excellent,4.48 x 4.37 x 3.21 mm,1897
BT80048_23617,Princess,0.7,J,I1,GIA,Excellent,None,,68.1,72.0,Very Thin to Thick,Very Good,Good,4.90 x 4.86 x 3.31 mm,1987
805 20_36142,Princess,0.63,G,I1,EGL,Excellent,None,,68.0,78.0,Slightly Thin to Slightly Thick,Very Good,Very Good,5.54 x 4.52 x 3.14 mm,2052
27469_29708,Princess,0.51,D,VS1,GIA,Excellent,Faint,None Pointed,71.8,71.0,Slightly Thick to Thick,Excellent,Very Good,4.52 x 4.44 x 3.19 mm,2219
17350_1326,Princess,0.63,J,SI2,GIA,Excellent,Faint,,80.9,72.0,Very Thick to Extr. Thick,Very Good,Fair,4.75 x 4.41 x 3.57 mm,1278
KB101_65543,Princess,0.73,G,I1,GIA,Excellent,Faint,,74.0,68.0,Slightly Thick to Very Thick,Very Good,Very Good,5.04 x 4.85 x 3.59 mm,2366
27087_61592,Princess,0.3,E,VS2,GIA,Excellent,None,,75.1,70.0,Slightly Thick to Thick,Excellent,Good,3.68 x 3.60 x 2.70 mm,889
DN-12_14152,Princess,0.7,G,I1,GIA,Excellent,Medium,,71.0,77.0,Medium to Extr. Thick,Very Good,Fair,4.95 x 4.71 x 3.34 mm,2133
3429_73755,Princess,0.49,E,VS2,GIA,Excellent,None,,76.3,77.0,Very Thin to Very Thick,Good,Good,4.73 x 4.17 x 3.18 mm,1758
29988_43225,Princess,0.31,G,VVS2,GIA,Excellent,None,,70.0,77.0,Medium to Thick,Excellent,Good,3.81 x 3.76 x 2.63 mm,997
0172_31501,Princess,0.45,K,SI1,GIA,Excellent,Medium,,57.1,76.0,Thin to Slightly Thick,Very Good,Good,4.92 x 4.35 x 2.48 mm,724
GIA 22120_12794,Princess,0.5,K,SI1,GIA,Excellent,Strong,,70.7,77.0,Thick to Very Thick,Excellent,Good,4.36 x 4.26 x 3.02 mm,1471
23776_29708,Princess,0.59,K,VVS2,GIA,Excellent,None,None Pointed,72.5,71.0,Medium to Very Thick,Excellent,Very Good,4.56 x 4.53 x 3.28 mm,1475
D193-E_42633,Princess,0.5,F,VS2,GIA,Excellent,None,,76.0,77.0,Medium to Extr. Thick,Very Good,Fair,4.22 x 4.22 x 3.21 mm,1768
656-5040/SB_55971,Princess,0.5,H,VS2,GIA,Excellent,None,,71.5,75.0,Medium to Slightly Thick,Excellent,Very Good,4.53 x 4.41 x 3.15 mm,2038
30010_43225,Princess,0.4,J,VS1,GIA,Excellent,Faint,,76.3,71.0,Thin to Very Thick,Very Good,Good,3.95 x 3.78 x 2.88 mm,1052
GIA 22904_12794,Princess,0.51,H,SI2,GIA,Excellent,None,,75.7,72.0,Medium to Extr. Thick,Excellent,Very Good,4.18 x 4.15 x 3.14 mm,1563
GXD593A11_12098,Princess,0.54,D,SI1,GIA,Excellent,Medium,,72.7,73.0,Slightly Thick to Thick,Very Good,Very Good,4.51 x 4.47 x 3.25 mm,1805
78476- IN A RING_63978,Princess,0.5,I,VS1,EGL,Excellent,Faint,,75.6,80.0,Thin to Thick,Very Good,Good,4.45 x 4.19 x 3.17 mm,1887
GIA 21316_12794,Princess,0.51,E,VS1,GIA,Excellent,None,,72.3,71.0,Slightly Thick to Thick,Very Good,Good,4.36 x 4.35 x 3.14 mm,2407
PR1552_13865,Princess,0.39,I,VVS2,GIA,Excellent,None,,73.4,82.0,Extr. Thin to Thin,Good,Fair,4.40 x 3.85 x 2.83 mm,1134
GIA 20950_12794,Princess,0.46,G,SI1,GIA,Excellent,None,,72.5,72.0,Slightly Thick to Very Thick,Excellent,Good,4.31 x 4.21 x 3.05 mm,1861
59329_20996,Princess,0.42,G,VVS1,GIA,Excellent,None,,73.3,73.0,Medium to Medium,Excellent,Very Good,4.13 x 4.08 x 2.99 mm,1568
PR2081_13865,Princess,0.4,F,VS1,GIA,Excellent,VSL,,61.6,82.1,Medium to Very Thick,Very Good,Very Good,4.40 x 4.27 x 2.65 mm,1540
26856_43225,Princess,0.81,K,VS2,GIA,Excellent,Faint,,76.4,72.0,Thick to Thick,Very Good,Very Good,5.09 x 4.86 x 3.71 mm,2417
NS-1392_68771,Princess,0.87,G,I1,GIA,Excellent,None,,77.9,70.0,Thick to Extr. Thick,Very Good,Good,5.00 x 4.94 x 3.85 mm,2352
GIA 22701_12794,Princess,0.59,K,SI1,GIA,Excellent,None,,75.5,73.0,Thick to Very Thick,Excellent,Very Good,4.48 x 4.40 x 3.32 mm,1808
167728_19235,Princess,0.7,I,VS1,GIA,Excellent,None,,67.7,80.0,Thick to Very Thick,Very Good,Very Good,5.02 x 4.81 x 3.26 mm,2282
GIA 22046_12794,Princess,0.5,K,SI1,GIA,Excellent,Faint,,76.2,68.0,Extr. Thick to Extr. Thick,Excellent,Good,4.25 x 4.06 x 3.09 mm,1471
WFSE-5521_92506,Princess,0.71,F,VS1,GIA,Excellent,Medium,,72.8,67.0,Thick to Very Thick,Excellent,Very Good,4.93 x 4.82 x 3.51 mm,2225
105804_19235,Princess,0.5,K,VS2,GIA,Excellent,None,,76.9,70.0,Medium to Very Thick,Very Good,Good,4.30 x 4.18 x 3.22 mm,1003
FI210718_34292,Princess,0.62,I,IF,GIA,Excellent,None,,71.9,72.0,Slightly Thick to Slightly Thick,Excellent,Excellent,4.81 x 4.71 x 3.39 mm,2153
2762_73755,Princess,0.5,H,VVS2,GIA,Excellent,None,,81.9,73.0,Medium to Extr. Thick,Good,Good,4.31 x 4.09 x 3.35 mm,1941
SJ4984_56539,Princess,0.42,H,VVS1,GIA,Excellent,None,,72.5,72.0,Medium to Medium,Very Good,Very Good,4.31 x 4.14 x 3.00 mm,2118
50541_118100,Princess,0.43,H,SI2,GIA,Excellent,None,,75.8,78.0,Extr. Thin to Extr. Thick,Good,Fair,4.60 x 3.88 x 2.94 mm,1121
GIA 22821_12794,Princess,0.5,K,SI2,GIA,Excellent,None,,73.4,73.0,Thin to Thick,Very Good,Very Good,4.28 x 4.20 x 3.09 mm,1324
19220_116297,Princess,0.6,J,VVS1,GIA,Excellent,None,,76.1,72.0,Very Thick to Extr. Thick,Very Good,Good,4.57 x 4.45 x 3.39 mm,1586
25841_29708,Princess,0.3,E,VS1,GIA,Excellent,None,None Pointed,71.9,72.0,Thin to Thick,Excellent,Very Good,3.80 x 3.72 x 2.68 mm,861
30041_15631,Princess,0.75,G,SI2,GIA,Excellent,None,,78.8,71.0,Thick to Thick,Very Good,Good,4.96 x 4.64 x 3.66 mm,1826
EK-6007_30893,Princess,0.73,G,I1,GIA,Excellent,None,,75.1,73.0,Thin to Very Thick,Good,Good,5.70 x 4.48 x 3.37 mm,2221
30980_43225,Princess,0.31,G,VS1,GIA,Excellent,Faint,,68.2,72.0,Thin to Thick,Excellent,Good,3.79 x 3.75 x 2.55 mm,987
BT80108_23617,Princess,0.55,H,SI2,GIA,Excellent,None,,73.5,71.0,Thick to Very Thick,Excellent,Good,4.43 x 4.37 x 3.21 mm,1854
25850_29708,Princess,0.34,E,VVS2,GIA,Excellent,None,None Pointed,67.2,79.0,Thin to Thick,Very Good,Good,3.96 x 3.95 x 2.66 mm,1040
30097_24321,Princess,0.7,G,SI2,GIA,Excellent,Faint,,75.7,76.0,Thick to Very Thick,Excellent,Good,4.91 x 4.73 x 3.58 mm,1805
63481_25539,Princess,0.3,F,VVS2,EGL,Very Good,None,,68.0,83.0,,Very Good,Very Good,3.72 x 3.66 x 2.42 mm,1470
25868_29708,Princess,0.59,I,VS2,GIA,Excellent,Faint,None Pointed,71.2,72.0,Slightly Thick to Thick,Excellent,Very Good,4.67 x 4.66 x 3.32 mm,2112
N0188104_32457,Princess,0.71,H,VS1,GIA,Excellent,None,,72.6,71.0,Medium to Slightly Thick,Excellent,Excellent,4.87 x 4.87 x 3.53 mm,2189
S50537_23298,Princess,0.48,I,VS2,GIA,Excellent,Medium,,78.1,87.0,Thin to Extr. Thick,Good,Fair,4.39 x 4.10 x 3.21 mm,1208
N0246387_32457,Princess,0.73,E,SI2,GIA,Excellent,None,,73.0,77.0,Slightly Thick to Thick,Excellent,Very Good,5.05 x 4.94 x 3.60 mm,1725
56562_99192,Princess,0.7,H,I1,GIA,Excellent,Faint,,77.8,71.0,Very Thick to Extr. Thick,Good,Fair,4.67 x 4.66 x 3.63 mm,1927
49262_37711,Princess,0.72,I,VS1,GIA,Excellent,None,,79.1,73.0,Medium to Very Thick,Very Good,Very Good,4.99 x 4.58 x 3.62 mm,2467
PR-1127_12927,Princess,0.5,F,VS2,GIA,Excellent,None,,70.8,77.0,Extr. Thin to Slightly Thick,Very Good,Good,4.53 x 4.32 x 3.06 mm,2173
RT-520_30893,Princess,0.5,G,VVS2,GIA,Excellent,None,,70.5,69.0,Medium to Thick,Very Good,Very Good,4.38 x 4.36 x 3.07 mm,1466
GIA 22153_12794,Princess,0.6,K,VVS2,GIA,Excellent,Faint,,78.3,70.0,Very Thick to Very Thick,Excellent,Very Good,4.53 x 4.38 x 3.43 mm,2221
PR-17655_30838,Princess,0.5,D,SI1,GIA,Excellent,None,,75.8,80.0,Medium to Very Thick,Good,Fair,4.36 x 4.20 x 3.18 mm,1615
PR1093_13865,Princess,0.44,E,VVS2,GIA,Excellent,None,,64.5,81.0,Medium to Thick,Good,Good,4.49 x 4.40 x 2.84 mm,2117
21353_61592,Princess,0.41,I,VVS1,GIA,Excellent,None,,71.3,72.0,Slightly Thick to Thick,Excellent,Very Good,4.16 x 4.11 x 2.93 mm,1233
BG476-134_13198,Princess,0.42,I,I1,GIA,Excellent,None,,74.3,75.0,Extr. Thin to Extr. Thick,Good,Fair,4.25 x 3.89 x 2.89 mm,707
XHCII_13124,Princess,0.39,G,VVS2,GIA,Excellent,Faint,,81.3,76.0,Medium to Extr. Thick,Very Good,Good,3.82 x 3.77 x 3.07 mm,1260
26995_43225,Princess,0.3,E,VVS2,GIA,Excellent,None,,74.0,71.0,Slightly Thick to Slightly Thick,Very Good,Very Good,3.64 x 3.64 x 2.69 mm,972
30028_15631,Princess,0.55,F,VS2,EGL,Excellent,None,,82.5,79.0,Thick to Thick,Very Good,Fair,4.44 x 4.05 x 3.34 mm,1312
C267_42633,Princess,0.43,F,VS1,GIA,Excellent,None,,77.1,82.0,Slightly Thick to Extr. Thick,Good,Fair,4.65 x 3.78 x 2.92 mm,1520
GIA 22912_12794,Princess,0.5,E,VS2,GIA,Excellent,None,,76.9,70.0,Thin to Very Thick,Excellent,Fair,4.24 x 4.20 x 3.23 mm,1931
65906_32541,Princess,0.61,H,VVS1,GIA,Excellent,Medium,,75.4,68.0,Thick to Very Thick,Excellent,Very Good,4.57 x 4.42 x 3.33 mm,1902
30112614220_71234,Princess,0.3,I,VVS1,GIA,Excellent,None,,75.4,72.0,Thick to Very Thick,Very Good,Very Good,3.60 x 3.60 x 2.72 mm,612
SM210701_34292,Princess,0.7,I,VVS2,GIA,Excellent,None,,75.0,71.0,Slightly Thick to Thick,Excellent,Very Good,4.80 x 4.78 x 3.59 mm,2468
23728_43225,Princess,0.32,D,IF,GIA,Excellent,None,,70.4,72.0,Medium to Medium,Excellent,Very Good,3.96 x 3.89 x 2.74 mm,1407
E45055-40_42875,Princess,0.6,F,SI1,GIA,Excellent,Faint,,72.8,70.0,Medium to Slightly Thick,Very Good,Very Good,4.60 x 4.59 x 3.34 mm,2261
50581_118100,Princess,0.37,F,VS2,GIA,Excellent,None,,78.5,77.0,,Good,Good,4.45 x 3.55 x 2.78 mm,1070
GIA 22903_12794,Princess,0.51,H,SI1,GIA,Excellent,None,,71.9,73.0,Medium to Slightly Thick,Excellent,Good,4.54 x 4.36 x 3.13 mm,1532
25859_29708,Princess,0.31,D,VVS2,GIA,Excellent,Faint,None Pointed,72.4,73.0,Very Thin to Slightly Thick,Excellent,Good,3.80 x 3.75 x 2.72 mm,953
6374_114061,Princess,1.01,I,I1,GIA,Excellent,None,,89.2,73.0,Very Thick to Extr. Thick,Very Good,Fair,5.12 x 4.92 x 4.39 mm,2439
194_42633,Princess,0.43,F,SI1,EGL,Very Good,,,,,,Very Good,Very Good,4.33 x 3.90 x 2.84 mm,1347
175859_19235,Princess,0.7,H,VS1,GIA,Excellent,Faint,,94.7,64.0,Extr. Thick to Extr. Thick,Very Good,Good,4.88 x 4.12 x 3.91 mm,2134
E23357-11_42875,Princess,0.63,G,SI2,EGL,Excellent,None,,73.6,73.0,,Excellent,Very Good,4.81 x 4.62 x 3.40 mm,1689
PR-17658_30838,Princess,0.5,F,VS2,GIA,Excellent,None,,70.9,69.0,Thick to Thick,Very Good,Very Good,4.57 x 4.38 x 3.10 mm,1804
30053_61592,Princess,0.6,J,VVS1,GIA,Excellent,Faint,,71.8,71.0,Medium to Thick,Excellent,Very Good,4.65 x 4.63 x 3.32 mm,2146
E43664-75_42875,Princess,0.53,I,VS1,GIA,Excellent,Faint,,74.9,75.0,Medium to Slightly Thick,Excellent,Very Good,4.35 x 4.29 x 3.22 mm,2189
E45464-01_42875,Princess,0.56,G,SI2,GIA,Excellent,Faint,,73.3,83.0,,Very Good,Good,4.55 x 4.37 x 3.20 mm,1693
R21S1442_68119,Princess,0.61,I,VS2,GIA,Excellent,None,,75.5,72.0,,Good,Good,5.13 x 4.34 x 3.28 mm,1794
012080_113702,Princess,0.8,K,VS2,GIA,Excellent,Faint,,82.5,72.0,Slightly Thick to Very Thick,Fair,Good,4.92 x 4.83 x 3.99 mm,1663
A220516_34292,Princess,0.7,I,VS2,GIA,Excellent,None,,74.4,70.0,Slightly Thick to Thick,Excellent,Very Good,5.01 x 4.82 x 3.59 mm,2386
GIA 22059_12794,Princess,0.5,K,VS2,GIA,Excellent,Medium,,74.0,71.0,Thick to Very Thick,Very Good,Very Good,4.37 x 4.26 x 3.15 mm,1564
N0242905_32457,Princess,0.71,K,VS2,GIA,Excellent,Strong,,75.8,76.0,Thick to Very Thick,Excellent,Very Good,4.77 x 4.76 x 3.60 mm,1645
GIA 22820_12794,Princess,0.49,G,VS2,GIA,Excellent,None,,71.9,72.0,Medium to Very Thick,Very Good,Good,4.29 x 4.22 x 3.03 mm,1657
30040_43225,Princess,0.52,D,VVS2,GIA,Excellent,Faint,,72.5,69.0,Thick to Thick,Excellent,Very Good,4.34 x 4.30 x 3.12 mm,2387
K10187DE20112_12148,Princess,0.5,G,SI1,GIA,Excellent,None,,74.6,66.0,Very Thick to Very Thick,Excellent,Excellent,4.21 x 4.19 x 3.13 mm,1334
N7002033_92506,Princess,0.71,E,VS2,GIA,Excellent,Faint,,70.1,75.0,Medium to Thick,Excellent,Very Good,5.07 x 4.91 x 3.44 mm,2293
PR-17664_30838,Princess,0.49,D,SI1,GIA,Excellent,Medium,,75.1,74.0,Thin to Extr. Thick,Very Good,Good,4.29 x 4.27 x 3.21 mm,1507
N0242905_92506,Princess,0.71,K,VS2,GIA,Excellent,Strong,,75.8,76.0,Thick to Very Thick,Excellent,Very Good,4.77 x 4.76 x 3.60 mm,1645
30029_43225,Princess,0.5,E,VVS2,GIA,Excellent,None,,72.2,73.0,Medium to Slightly Thick,Very Good,Good,4.47 x 4.38 x 3.16 mm,2243
BG476-267_13198,Princess,0.26,I,VS1,GIA,Excellent,None,,70.4,83.0,Very Thin to Very Thick,Good,Good,3.69 x 3.53 x 2.48 mm,606
Q31_19133,Princess,0.72,J,VS1,EGL,Excellent,None,,75.3,68.0,,Very Good,Very Good,4.84 x 4.77 x 3.59 mm,2203
27055_43225,Princess,0.32,D,VS1,GIA,Excellent,None,,74.4,72.0,Thin to Medium,Excellent,Very Good,3.74 x 3.65 x 2.72 mm,1069
E44522-06_42875,Princess,0.51,H,VS2,GIA,Excellent,None,,70.2,76.0,Medium to Thick,Very Good,Very Good,4.59 x 4.43 x 3.11 mm,2221
8423_84320,Princess,0.3,E,VS2,GIA,Excellent,None,,72.9,71.0,Medium to Very Thick,Very Good,Very Good,3.74 x 3.68 x 2.69 mm,1171
GIA 22697_12794,Princess,0.59,J,VS1,GIA,Excellent,None,,72.6,71.0,Thick to Very Thick,Excellent,Excellent,4.51 x 4.51 x 3.27 mm,1765
TA3189_71136,Princess,0.5,D,SI1,GIA,Excellent,None,,68.3,78.0,Slightly Thick to Thick,Excellent,Very Good,4.54 x 4.48 x 3.06 mm,2463
6523_53966,Princess,0.54,H,VS1,GIA,Excellent,None,,69.8,80.0,Medium to Thick,Very Good,Good,4.70 x 4.57 x 3.19 mm,2507
GIA 20525_12794,Princess,0.46,F,SI2,GIA,Excellent,None,,72.1,72.0,Medium to Thick,Excellent,Good,4.28 x 4.22 x 3.04 mm,1365
23885_29708,Princess,0.44,I,VS1,GIA,Excellent,None,None Pointed,71.6,70.0,Medium to Thick,Excellent,Very Good,4.18 x 4.10 x 2.93 mm,1236
PR-17661_30838,Princess,0.52,F,VS2,GIA,Excellent,None,,75.3,77.0,Very Thick to Extr. Thick,Very Good,Good,4.45 x 4.19 x 3.15 mm,1658
GIA 22699_12794,Princess,0.59,J,SI1,GIA,Excellent,Faint,,75.8,75.0,Very Thick to Very Thick,Excellent,Very Good,4.51 x 4.41 x 3.34 mm,1794
N0187097A_32457,Princess,0.81,J,VS2,GIA,Excellent,None,,74.0,73.0,Thick to Very Thick,Excellent,Excellent,5.06 x 4.99 x 3.69 mm,2210
GIA 22813_12794,Princess,0.5,E,VS2,GIA,Excellent,None,,73.0,75.0,Thick to Very Thick,Excellent,Good,4.34 x 4.31 x 3.15 mm,1937
717_70282,Princess,0.61,G,VS1,EGL,Excellent,None,,78.6,80.6,Very Thin to Medium,Very Good,Good,5.17 x 4.23 x 3.30 mm,2411
218Q-9_21571,Princess,0.3,H,VVS1,GIA,Excellent,Faint,,70.5,73.0,Thin to Slightly Thick,Excellent,Very Good,3.80 x 3.69 x 2.60 mm,881
9001_39790,Princess,0.58,I,VVS2,GIA,Excellent,None,,72.1,77.0,Thin to Very Thick,Good,Fair,5.28 x 4.23 x 3.05 mm,1861
26555_61592,Princess,0.35,D,VS1,GIA,Excellent,Faint,,73.0,71.0,Slightly Thick to Thick,Very Good,Very Good,3.92 x 3.83 x 2.79 mm,1170
SDC-1092_78968,Princess,0.58,I,I1,GIA,Excellent,None,None Pointed,74.9,65.0,Medium to Very Thick,Good,Good,4.72 x 4.39 x 3.29 mm,1473
GIA 22351_12794,Princess,0.5,F,VS2,GIA,Excellent,Faint,,78.0,71.0,Very Thick to Extr. Thick,Very Good,Fair,4.23 x 4.06 x 3.17 mm,2490
GD3646_48037,Princess,0.63,H,SI3,EGL,Excellent,None,,80.0,68.0,Thick to Very Thick,Good,Good,4.66 x 4.35 x 3.48 mm,1738
29980_43225,Princess,0.3,E,VVS2,GIA,Excellent,None,,68.5,75.0,Thin to Thick,Very Good,Good,3.94 x 3.77 x 2.58 mm,972
65SPJ331232_115090,Princess,0.44,D,VS2,GIA,Excellent,None,,71.4,71.0,Medium to Thick,Very Good,Good,4.32 x 4.18 x 2.98 mm,1759
A220527_34292,Princess,0.73,I,SI1,GIA,Excellent,None,,73.3,75.0,Thick to Very Thick,Excellent,Very Good,4.97 x 4.86 x 3.56 mm,2478
50415_118100,Princess,0.55,F,VS1,GIA,Excellent,None,,69.7,80.0,Extr. Thin to Very Thick,Good,Fair,4.73 x 4.58 x 3.19 mm,1848
BT80163_23617,Princess,0.5,F,SI2,GIA,Excellent,None,,78.6,76.0,Medium to Very Thick,Excellent,Very Good,4.47 x 4.17 x 3.28 mm,1649
R19S120_68119,Princess,0.52,I,VVS2,GIA,Excellent,None,,75.6,71.0,Very Thick to Extr. Thick,Very Good,Good,4.57 x 4.31 x 3.26 mm,1780
29981_61592,Princess,0.3,E,VS2,GIA,Excellent,None,,73.5,69.0,Very Thin to Very Thick,Excellent,Good,3.58 x 3.56 x 2.62 mm,889
S-1131611_6744,Princess,0.75,I,SI2,GIA,Excellent,Faint,,76.7,71.0,Very Thick to Very Thick,Very Good,Very Good,5.02 x 4.79 x 3.68 mm,2507
115140_63978,Princess,0.49,H,VVS1,GIA,Excellent,Faint,,80.2,68.0,Slightly Thick to Extr. Thick,Good,Fair,4.11 x 4.07 x 3.27 mm,2043
E44748-06_42875,Princess,0.51,D,SI2,GIA,Excellent,None,,72.3,69.0,Thick to Very Thick,Excellent,Very Good,4.30 x 4.30 x 3.11 mm,1824
25832_29708,Princess,0.32,F,VVS2,GIA,Excellent,None,None Pointed,71.3,71.0,Medium to Slightly Thick,Excellent,Very Good,3.86 x 3.80 x 2.71 mm,982
TCL361_70155,Princess,0.54,H,I1,GIA,Excellent,None,,83.6,74.0,Very Thick to Extr. Thick,Good,Good,4.22 x 4.13 x 3.45 mm,1280
8537_117908,Princess,0.3,I,VVS1,GIA,Excellent,Faint,,77.8,68.0,Thick to Very Thick,Very Good,Very Good,3.49 x 3.49 x 2.71 mm,844
24963_43225,Princess,0.34,D,SI1,GIA,Excellent,None,,74.0,70.0,Slightly Thick to Slightly Thick,Excellent,Very Good,3.81 x 3.80 x 2.81 mm,981
29945_43225,Princess,0.4,I,VVS1,GIA,Excellent,None,,74.7,67.0,Slightly Thick to Very Thick,Excellent,Very Good,4.08 x 3.89 x 2.90 mm,1238
8029_84320,Princess,0.4,E,I1,GIA,Excellent,None,,74.5,69.0,Medium to Thick,Excellent,Good,4.24 x 3.88 x 2.89 mm,1287
PR-17659_30838,Princess,0.49,F,SI2,GIA,Excellent,None,,70.1,78.0,Slightly Thick to Very Thick,Very Good,Very Good,4.49 x 4.46 x 3.13 mm,1637
986_73755,Princess,0.59,F,VS1,EGL,Excellent,None,,71.7,77.0,Medium to Slightly Thick,Very Good,Good,4.70 x 4.67 x 3.35 mm,2423
S4455_77451,Princess,0.56,K,VVS2,GIA,Excellent,Faint,,72.6,86.0,Very Thick to Very Thick,Good,Good,5.00 x 4.35 x 3.16 mm,1400
A5SF-16_21571,Princess,0.5,D,SI2,GIA,Excellent,None,,78.4,66.0,Slightly Thick to Very Thick,Very Good,Fair,4.29 x 4.15 x 3.25 mm,1468
30036_43225,Princess,0.51,E,VS1,GIA,Excellent,None,,71.0,69.0,Thick to Very Thick,Very Good,Good,4.33 x 4.28 x 3.04 mm,2147
25884_29708,Princess,0.53,G,VVS2,GIA,Excellent,None,None Pointed,67.3,73.0,Thin to Medium,Excellent,Very Good,4.69 x 4.62 x 3.11 mm,1984
21051_43225,Princess,0.31,E,VVS1,GIA,Excellent,None,,73.8,73.0,Slightly Thick to Thick,Very Good,Very Good,3.86 x 3.69 x 2.72 mm,1150
PR-1159_12927,Princess,0.51,G,VS2,GIA,Excellent,None,,74.7,74.0,Thick to Thick,Excellent,Very Good,4.45 x 4.24 x 3.17 mm,2435
R21S3979_68119,Princess,0.33,E,SI1,GIA,Excellent,None,,66.5,77.0,Medium to Medium,Very Good,Good,4.04 x 3.96 x 2.64 mm,915
PR1672_13865,Princess,0.51,H,VS2,GIA,Excellent,None,,79.9,82.0,Slightly Thick to Slightly Thick,Good,Fair,4.37 x 4.17 x 3.33 mm,2127
E39944-05_42875,Princess,0.31,D,SI1,GIA,Excellent,None,,73.3,72.0,Medium to Medium,Excellent,Very Good,3.81 x 3.71 x 2.72 mm,1064
E45396-08_42875,Princess,0.6,H,SI1,GIA,Excellent,None,,73.7,72.0,Slightly Thick to Thick,Very Good,Very Good,4.64 x 4.57 x 3.37 mm,2152
23906_29708,Princess,0.31,D,VS2,GIA,Excellent,None,None Pointed,72.1,71.0,Medium to Very Thick,Very Good,Very Good,3.73 x 3.71 x 2.68 mm,915
27006_61592,Princess,0.33,G,VVS2,GIA,Excellent,Faint,,73.1,70.0,Thin to Thin,Very Good,Excellent,3.90 x 3.76 x 2.75 mm,1062
062137_23569,Princess,0.53,K,VS2,GIA,Excellent,Strong,,70.7,76.0,Extr. Thin to Medium,Good,Good,4.67 x 4.52 x 3.20 mm,1417
99003_70061,Princess,0.55,J,VVS2,GIA,Excellent,None,,79.0,80.0,Extr. Thin to Slightly Thick,Good,Good,4.40 x 4.30 x 3.39 mm,1593
S4371_77451,Princess,0.55,F,VS1,GIA,Excellent,None,,82.5,76.0,,Fair,Fair,4.76 x 4.04 x 3.33 mm,1785
27971_29708,Princess,0.51,J,VS1,GIA,Excellent,Faint,None Pointed,73.7,73.0,Slightly Thick to Thick,Excellent,Very Good,4.43 x 4.43 x 3.26 mm,1232
25858_29708,Princess,0.3,D,VVS2,GIA,Excellent,Faint,None Pointed,69.8,71.0,Thin to Very Thick,Excellent,Good,3.73 x 3.70 x 2.58 mm,923
CGL/AR4-4_14255,Princess,0.35,D,VS2,GIA,Excellent,None,,69.8,73.0,Thin to Slightly Thick,Excellent,Very Good,4.02 x 3.96 x 2.76 mm,1230
045A0613_98272,Princess,0.45,D,VVS1,GIA,Excellent,None,,71.4,70.0,Medium to Slightly Thick,Excellent,Very Good,4.43 x 4.20 x 3.00 mm,2171
GIA 8468_12794,Princess,0.7,K,SI1,GIA,Excellent,None,,74.6,73.0,Thin to Extr. Thick,Very Good,Fair,4.73 x 4.62 x 3.45 mm,1974
BG476-241_13198,Princess,0.24,I,VVS2,GIA,Excellent,Faint,,72.5,75.0,,Good,Good,3.45 x 3.43 x 2.48 mm,631
27007_119850,Princess,0.3,G,VVS1,GIA,Excellent,None,,72.5,72.0,Slightly Thick to Thick,Very Good,Very Good,3.70 x 3.70 x 2.68 mm,832
E42381-03_42875,Princess,0.5,E,VS2,GIA,Excellent,None,,70.4,74.0,Medium to Extr. Thick,Excellent,Good,4.48 x 4.30 x 3.03 mm,2210
SDC-1131_78968,Princess,0.65,F,I1,GIA,Excellent,None,,77.6,66.0,Thick to Very Thick,Very Good,Good,4.76 x 4.60 x 3.57 mm,1521
GIA 23072_12794,Princess,0.5,E,VS1,GIA,Excellent,None,,72.8,73.0,Thin to Very Thick,Excellent,Very Good,4.38 x 4.28 x 3.12 mm,2035
BT81533_23617,Princess,0.5,D,VVS2,GIA,Excellent,None,,75.5,65.0,Medium to Thick,Good,Fair,4.29 x 4.13 x 3.12 mm,2201
